recipe_id,name,cuisine,cook_time,ingredients,instructions,calories,type,health_label,health_score,servings,picture
110,Chimichurri Skirt Steak with Grilled Asparagus,Latin American,45,"1 pound green or white asparagus, woody ends snapped off & discarded|1/2 teaspoon chili pepper flakes|1 cup flat leaf parsley, lightly packed & rough chopped|¼ cup fresh mint leaves|3 to 5 garlic cloves, rough chopped|4 garlic cloves, peeled|Kosher salt|3 tablespoons lemon juice|1/4 cup of extra-virgin olive oil|¼ cup fresh oregano leaves|1 teaspoon freshly ground pepper|Freshly cracked black pepper|2 tablespoons Red wine vinegar|2 tablespoons shallot, chopped|2 skirt steaks","Place all chimichurri sauce ingredients except for the olive oil in a food processor &amp; pulse until well chopped. While the food processor is going, slowly pour the olive oil into the mixture until blended.  Reserve half of the sauce to serve on the side with the meal.Season skirt steaks with salt &amp; pepper on bother sides.  Spoon the remaining chimichurri sauce over the steaks &amp; let marinate for 30 minutes up to overnight.Pre-heat the grill to 350 to 400 F.In a plastic resealable bag, add asparagus, olive oil, garlic, salt &amp; pepper.  Shake to coat &amp; place in a grill basket.|Place the steak &amp; grill basket of asparagus directly over a hot grill.  Gently toss the asparagus for even grilling &amp; baste with garlic, olive oil mixture  10 minutes.Grill the skirt steak to desired temperature  5 to 8 minutes per side.|Remove from grill &amp; let steak rest for 10 minutes before slice long strips.  Spoon reserved chimichurri sauce over steak &amp; serve with asparagus on the side.",144,lunch|main course|main dish|dinner,gluten free|dairy free|paleolithic|primal|whole 30|ketogenic,66,4,https://spoonacular.com/recipeImages/638626-556x370.jpg
111,Valentine's Chicken Marsala,Italian,45,"6 oz.sliced, fresh mushrooms|1 large boneless, skinless chicken breast|2 large cloves garlic, minced|2 Tbs butter|1 Tbs olive oil (plus additional to saute mushrooms)|Seasoned Breadcrumbs/Coating Mix*|2 cups Marsala wine|1/4 cup heavy cream|Cooked pasta, if desired","Slice mushrooms and pound chicken breast with a mallet between 2 sheets of wax paper to about 1/4 inch. Dredge breast in seasoned crumbs.|Heat a heavy stainless or cast iron pan (don't use non-stick).|Add the butter and the olive oil till butter melts and is bubbly.|Add chicken breast and brown on both sides.|Remove browned breast.|Add additional olive oil and saute mushrooms and garlic.|Deglaze pan with wine.|Add browned chicken breast back to pan. Bring to boil, reduce heat, cover and simmer for 30 min.|Remove chicken from pan.|Add cream and reduce sauce 50%.|Serve over cooked pasta, if desired.",225,lunch|main course|main dish|dinner,,5,3,https://spoonacular.com/recipeImages/664270-556x370.jpg
112,PB Cup Stuffed Brownie Bites,American,45,2 cups granulated sugar|1 ¾ cups flour|5 eggs|1 teaspoon salt|1 cup vegetable oil|1 teaspoon vanilla|½ cup cocoa powder|½ cup semi sweet chocolate chips (1 cup if you don't want to stuff the brownie bites)|About 60 mini Reese's peanut butter cups,"Whisk together sugar, flour, eggs, salt, oil, vanilla, and cocoa powder until well combined. Stir in the semi sweet chocolate chips. Make sure to not over mix!|Prepare a mini muffin pan with cooking spray and preheat your oven to 350 degrees F.|Scoop batter into the pan.|Fill the slots up about  -  of the way up, so there's a little room for the peanut butter cup stuffed brownie bites to rise.|Cook for 8 - 10 minutes, or until an inserted toothpick comes out almost clean. It's ok if these are slightly underdone.|Once the brownies are done, gently push a peanut butter cup in the center of the brownie.|Let these set in the pan for a couple of minutes.|Remove from the pan and let them cool the rest of the way on a cooling rack!",200,dessert,dairy free,0,60,https://spoonacular.com/recipeImages/655043-556x370.jpg
113,Zucchini Chicken Omelette,British,45,"3 Eggs|1 tablespoon Water|150 grams Zucchini, grated|Salt and pepper to taste|1 tablespoon Oil|80 grams Milanese chicken left over, diced","Beat eggs and water in a bowl.|Mix in grated zucchini and season with salt and pepper.|Heat the oil in a small, non-stick skillet. When hot, add half the egg mixture and cook for 1 minute until the egg begins to set. Scatter evenly with half diced chicken.|Cook for a further 1-2 minutes, until the egg is golden underneath, and just set on top. Slide out onto a serving plate, folding it over as you go. Repeat.|Serve the omelette with your favourite salad.",222,lunch|main course|morning meal|brunch|main dish|breakfast|dinner,gluten free|dairy free|fodmap friendly|whole 30|ketogenic,4,2,https://spoonacular.com/recipeImages/665734-556x370.jpg
114,Creamy Cauliflower Chowder,British,40,2 tbsp butter|4 cup chopped cauliflower about 1 large head|1 cup cheddar cheese|2 cubes chicken bouillon|8 slices cooked bacon|Croutons|¼ cup flour|2 tsp garlic|2 tsp ground mustard|5 cups milk|½ cup onion|1 tsp paprika|1 cup parmesan cheese|1 tsp salt,"Add butter, garlic, onion and cauliflower to a large pot and saute for 5 minutes until cauliflower starts to brown.|Add flour, chicken bouillon, ground mustard, paprika, salt and mix well, then add 2 cups milk and stir. Reduce heat and boil for 10 minutes, cauliflower should be soft.|Add to a blender and blend until smooth.|Transfer back to the pot and add the rest of the milk.|Add parmesan cheese, cheddar cheese and stir until melted.When cheese is melted and its heated through, serve in bowls and top with bacon, croutons and extra cheese.",231,lunch|soup|main course|main dish|dinner,,7,8,https://spoonacular.com/recipeImages/724324-556x370.jpg
115,Crispy Buttermilk Fried Chicken,American,45,"2 pounds chicken|3/4 cup flour|2 teaspoons salt|1 teaspoon paprika|1 teaspoon pepper|1 cup buttermilk|Vegetable oil (enough to cover chicken), about 1 quart","Mix flour, salt, paprika and pepper. Dip chicken in buttermilk and then into flour mixture. Cook chicken in oil, starting on medium-high heat, then, when chicken is browned, reduce heat to medium and cook an additional 30 to 35 minutes until chicken is done (approx 150-155 degrees F internal), turning occasionally.",213,lunch|main course|main dish|dinner,,4,6,https://spoonacular.com/recipeImages/640803-556x370.jpg
116,Corned Beef And Cabbage With Irish Mustard Sauce,British,270,"1 bay leaf|1 tbsp. butter, melted|1 (2 lb.) cabbage, cut into wedges|1 large carrot, scraped and sliced|1/4 c. cider vinegar (good quality)|1 (4 lb.) corned beef brisket|1 tbsp. cornstarch|1 tsp. dry mustard|2 egg yolks, beaten|1 bunch fresh parsley|1 tsp. horseradish|2 lbs. new potatoes, peeled|3 medium onions|1/4 teaspoon pepper|1/2 tsp. salt|2 tsp. sugar|1 c. water","Combine corned beef and water to cover in a large Dutch oven; bring to a boil then remove from heat.|Drain.|Add fresh water to cover.|Add onion, carrot, parsley, bay leaf, and pepper. Bring to a boil once again, then reduce to a low simmer. Skim off foam, if necessary. Cover and simmer 4 hours or until tender.|Remove onion and parsley.|Add potatoes to Dutch oven. Simmer 10 minutes.|Add cabbage wedges, and simmer 20 minutes or until vegetables are tender.|Remove and discard bay leaf.To make the Irish Mustard Sauce, combine cornstarch, sugar, dry mustard and salt in a medium saucepan; stir well.|Add water and cook over low heat, stirring constantly, until thickened.|Remove from heat. Stir in vinegar, butter and horseradish. Gradually stir about 1/4 of hot mixture into yolks; add to remaining hot mixture, stirring constantly. Cook over low heat, stirring constantly, until thickened.|Transfer corned beef and vegetables to a serving platter.|Serve with Irish Mustard Sauce.",562,lunch|main course|main dish|dinner,gluten free,44,6,https://spoonacular.com/recipeImages/640136-556x370.jpg
117,Roasted Pumpkin and Barley Risotto,Mediterranean,75,"1 cup barley|2 teaspoons butter|4 cups of chicken stock|2 teaspoons cumin powder|1/2 teaspoon dried thyme|2 teaspoons fresh mint|2 cloves to garlic, minced|big chunk of ginger. minced|1 small onion, diced finely|1 teaspoon oregano|1/2 teaspoon pink peppercorns|1 cup pumpkin puree|salt and pepper to taste|2 teaspoons sour cream|1 teaspoon Worcestershire sauce","Cut the pumpkin, clean out the innards and place cut face down in a baking dish with a 1/4 inch of water.|Bake in a 400 degree oven for 45 minutes until the insides are soft and cooked.Scoop out the cooked flesh and puree with the tiniest bit of milk to make a smooth puree.|Saute the onions and garlic in butter until translucent.|Add in the barley and toast for a couple of minutes.Season with salt, pepper, cumin, thyme and oregano.|Add two cups of stock and cook until the liquid is almost absorbed.Stir in the pumpkin puree.|Add the rest of the stock in half cup measures and stirring until it is fully absorbed.Slowly, the barley will become creamy as the starch releases.When you are done with all the stock, remove from heat and stir in the sour cream.|Serve immediately garnished with mint leaves and a drop of pumkiny-sour cream.",177,side dish|lunch|main course|main dish|dinner,,31,3,https://spoonacular.com/recipeImages/658632-556x370.jpg
118,Doughnuts,American,45,1.5 cups of flour|30 ml honey|1 tablespoon of powdered milk|1/2 teaspoon salt|150 ml warm water|1 teaspoon yeast,"In a bowl mix the water with the yeast and honey, whisk and allow to sit for 15 minutes or until the mixture is foamy.|Mix the flour with the salt and powdered milk and pour the yeast mixture into the bowl.Knead the dough till its elastic and not sticky and cover and leave to double in size. This could take 1-2 hours.On a lightly floured surface, roll out your dough but not to thin so your doughnuts are not flat and cut the dough into circles. If You have a doughnut cutter use that, if not use a small round shaped cover or bowl to make your circles and a smaller container for the middle hole. You can improvise and use the mouth of a plastic bottle to make the hole in the middle.Leave to rise for another 45 minutes.|Heat up your oil and fry the doughnuts till they are brown on both sides.Vanilla Glaze|Mix 1 cup of powdered sugar with 30 ml of milk and 1 teaspoon of vanilla.|Whisk till its properly mixed and drizzle the doughnuts with it.|Add sprinkles for garnishing|Chocolate GlazeI used a chocolate sauce and drizzled over the doughnuts with sprinkles to top it.",198,morning meal|brunch|breakfast,lacto ovo vegetarian,35,2,https://spoonacular.com/recipeImages/716276-556x370.jpg
119,Cinnamon Eggless Coffee Cake,American,45,1 cup of All purpose Flour|1/2 cup of wholewheat flour|1 cup of powdered sugar|6 tablespoons of vegetable oil|1 tablespoon Vinegar|1/2 teaspoon of instant coffee powder|1 teaspoon of Cinnamon powder|1 teaspoon of Baking soda|1/2 teaspoon of salt|1 teaspoon of Vanilla essence|1/2 cup of Curd or Yogurt|1/2 cup of strong coffee decoction,"Preheat the oven for 10 minutes at 180C. Grease a rectangular tin for baking the cake and keep it aside. Take a big vessel and sift the two kinds of flour with baking powder, coffee, powder, cinnamon powder and salt for at least three times.|Take another vessel and beat powdered sugar and oil till it is light and fluffy , for about 10 minutes.|Add the curd, coffee decoction, vanilla essence and vinegar in the sugar and oil mixture and stir it thoroughly. Keep 1 tsp. of sugar aside.|Gently mix in the liquid mix in the dry flour.|Mix the whole batter very lightly till it resembles a uniform paste. Do not over mix, just 10-12 strokes will do.|Pour the prepared batter in the baking tin and sprinkle 1 tsp. of sugar over it.|Bake it at 180C for about 25-30 minutes or till done.|Insert a clean knife and take it out, if it comes clean the cinnamon tea cake is ready, else bake it for few more minutes.|Take out of the oven and let it cool on a wire rack.|Cut it in desired shape and serve with tea or coffee. Stays good for a week.",328,morning meal|dessert|brunch|breakfast,lacto ovo vegetarian,1,6,https://spoonacular.com/recipeImages/639456-556x370.jpg
