name,cuisine,time,ingredients,instructions,calories,type,health_label,health_score,servings,picture
Apple Roasted Pork Loin,British,45,"3 pounds pork loin|3 large Granny Smith apples, peeled and cored|3 tablespoons olive oil|2 cloves minced garlic|1/2 cup honey|1/4 cup apple cider vinegar|1/2 teaspoon pepper|1/4 teaspoon sea salt|1 teaspoon Chinese five spice powder|1/2 teaspoon freshly grated nutmeg","Apple Roasted Pork Loin|Apples and pork is a pretty traditional combination and I couldnt count the number of ways Ive put the two together in the past but this one is a little different. The Granny Smith apples are diced quite small and then cooked in a reduction of honey, apple cider vinegar and spices. Granny Smiths are good to use because they wont break down into apple sauce during the cooking. The cooked apples are then used as a top crust and glaze for the roast pork. Some garlic roast potatoes and steamed veggies completed a wonderful family meal. Heres your Sunday supper!Lb pork loin or rib roast|Season the pork with salt and pepper and open roast on a rack in a roasting pan at 375 degrees F for about a half hour.Meanwhile dice very small, (about a 1/4 inch dice)Large Granny Smith apples, peeled and cored|In a large saute pan over medium heat add:Tbsp olive oil|Cloves minced garlic|Cook for a minute or two to soften but not brown the garlic.|Add:Cup honey|Cup apple cider vinegar|Tsp pepper|Tsp sea salt|Teaspoon Chinese five spice powder|Tsp freshly grated nutmeg|Bring the mixture to a boil and simmer until the volume is reduced by about half. Increase the heat to mediun-high.|Add the diced apple and cook, stirring occasionally until most of the liquid has reduced off.After half an hour in the oven, take the roast out and spoon the apples all over the top. Return the roast to the oven, reduce the heat to 350 degrees F and cook uncovered until the internal temperature reaches 170 degrees F on a meat thermomether inserted into the center of the roast. Allow the pork to rest for about 15 minutes before carving and serving.",512,lunch|main course|main dish|dinner,gluten free|dairy free|paleolithic|primal,44,6,https://spoonacular.com/recipeImages/632590-556x370.jpg
Apple Soft Pound Cake,French,45,"220g Butter (room temperature)|170g Sugar|3 Large eggs (about 210g) - separated|1 tsp Vanilla extract|180g Plain flour|30g Corn flour|5g Baking powder|250g Green apple, peeled and cubed and mix with 1 1/2 tbsp lemon juice|Lemon zest from 1 large lemon","Spray Non-stick spray evenly in bundt pan or line two loaf pans and set aside.|Cream butter and sugar till fluffy and pale then add vanilla extract, mix well.|Add egg yolks into the batter one at a time and mix well before adding in another then slowly add in egg whites and mix well, stop machine.|Sift plain flour, corn flour and baking powder together and fold into butter mixture with a rubber spatula.|Lastly pour in lemon zest and apple cubes, mix well.|Pour the batter into the prepared pan and place in the preheated oven at 180C and bake for 35-40 mins or skewer comes out clean.|Leave pound cake to cool in pan for 30 mins and remove cake then place on to rack to cool completely.|Chill the cake before cut.",3369,dessert,lacto ovo vegetarian,41,1,https://spoonacular.com/recipeImages/632593-556x370.jpg
Asian Salmon Burgers With Tangy Ginger Lime Sauce,American,30,"4 burger buns|1 tablespoon Fresh Basil, Chopped (about 5 leaves worth)|1 clove Garlic|1 Green Onion, Chopped|1/4 Lime, Juiced|1/4 cup Mayonnaise|1 teaspoon Oyster Sauce|1/2 teaspoon Powdered Ginger|1 pound Salmon|5 1/2 tablespoons Sesame Oil|2 tablespoons Sour Cream|1 tablespoon Soy Sauce","Cut the salmon into large hunks and run it through a food processor until no large pieces remain.|Add to the salmon the soy sauce, garlic, ginger, oyster sauce, green onion, and basil.|Combine ingredients well and form 4 large patties from mixture.|Heat up the sesame oil in a large frying pan on medium high heat and add in the patties. Cook for about 10 minutes flipping once half way through.To make the sauce, add together all the above listed ingredients and stir to combine.|Pour a spoonful of sauce over the top of the finished salmon burger and serve inside a toasted bun.",565,lunch|main course|main dish|dinner,pescatarian,21,4,https://spoonacular.com/recipeImages/632874-556x370.jpg
Asparagus and Asiago Frittata,Indian,45,"5 eggs|1 small bunch of thin asparagus (about 3/4 pound), washed, trimmed, and cut into 1-inch pieces|1 tablespoon butter|1 tablespoon olive oil|1-1/2 tablespoons heavy whipping cream|1 tablespoon fresh thyme, chopped and divided|1 garlic clove, minced|1/4 teaspoon salt|1/4 teaspoon ground black pepper|3 ounces Asiago cheese, sliced thin|4-5 cherry tomatoes sliced in half, and 6, 4-inch asparagus spears for garnish","In a large bowl, combine the eggs, whipping cream, salt, pepper, and half the fresh thyme. Beat with a whisk until the eggs and cream are incorporated.|In an ovenproof saut pan over medium heat, add the butter and olive oil. When the mixture is hot, add the asparagus pieces and cook for 3-4 minutes, stirring.|Add the garlic and cook for about a minute.|Spread the asparagus so it is evenly distributed across the bottom of the pan.|Add the egg mixture to the pan and allow the eggs to cook without mixing them. Use a rubber spatula to run around the edges of the frittata as it cooks so the edges dont stick and burn. After 1-2 minutes, add the cheese evenly to the egg mixture.|When the outer edges of the frittata have set but the center is still slightly runny, arrange the cherry tomatoes and asparagus spears on the top of the frittata, sprinkle the remaining thyme over the top, then remove the pan from the heat and place it in an oven set to broil.|The broiler will allow the top portion of the egg mixture to set and cook thoroughly. Keep a close watch so the frittata doesnt burn.|After a few minutes, when the eggs have set completely and begin to turn golden, carefully remove the pan from the oven.|Use a rubber spatula to run around the edges and underside of the frittata, and slide it onto a round serving plate.|Slice and serve warm or at room temperature.",261,lunch|main course|morning meal|brunch|main dish|breakfast|dinner,gluten free|lacto ovo vegetarian|primal|ketogenic,8,4,https://spoonacular.com/recipeImages/632925-556x370.jpg
Asparagus and Pea Soup: Real Convenience Food,Mexican,20,1 bag of frozen organic asparagus (preferably thawed)|1T EVOO (extra virgin olive oil)|a couple of garlic cloves|1/2 onion|2-3c of frozen organic peas|1 box low-sodium vegetable broth,"Chop the garlic and onions.|Saute the onions in the EVOO, adding the garlic after a couple of minutes; cook until the onions are translucent.|Add the whole bag of asparagus and cover everything with the broth. Season with salt and pepper and a pinch of red pepper flakes, if using.Simmer until the asparagus is bright green and tender (if youve thawed the asparagus it will only take a couple of minutes). Turn off the heat and puree using an immersion blender.|Add peas (the heat of the soup will quickly thaw them) and puree until smooth; add more until it reaches the thickness you like.Top with chives and a small dollop of creme fraiche or sour cream or greek yogurt.",217,antipasti|soup|starter|snack|appetizer|antipasto|hor doeuvre,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal|vegan,100,2,https://spoonacular.com/recipeImages/716406-556x370.jpg
Asparagus Eggs Benedict,Mediterranean,30,"12 thin asparagus spears, (about 4 ounces)|1/3 cup butter|1 pinch cayenne pepper|3 large egg yolks|4 large eggs|2 English muffins|4 slices ham|1 tablespoon fresh lemon juice|1/4 teaspoon salt","Fill a medium saucepan or wide deep skillet 3/4 full with hot tap water.Bring to a boil over high heat. Reduce heat to maintain a gentle boil. Trim off and discard woody ends of asparagus.|Place asparagus in shallow microwave-safe casserole dish, cover with vented plastic wrap, and cook at HIGH power 1-1/2 to 2-1/2 minutes or until asparagus are crisp-tender.Cover tightly; set aside in a warm place.Break whole eggs, one at a time, into a small dish. Slip eggs into simmering water. Cook about 3 minutes for soft-set eggs or until cooked as desired.While eggs are cooking, place egg yolks in blender container.|Add lemon juice, salt and cayenne pepper.|Place butter in microwave-safe measuring cup and cook at HIGH power until melted and bubbly, about 1 to 1-1/2 minutes.With blender running, pour hot butter in a stream through the hole in the lid. Blend 30 seconds or until sauce has thickened.Split and toast English muffins.|Place warmed ham on each muffin half and top with about 3 asparagus. Using a slotted spoon, place poached eggs over asparagus. Spoon sauce over eggs.",780,morning meal|brunch|breakfast,,16,2,https://spoonacular.com/recipeImages/632928-556x370.jpg
Authentic Biscochitos,Mediterranean,45,1 cup sugar|1 egg|2 teaspoons vanilla extract|1/4 cup brandy or rum (I used dark rum)|1 teaspoon anise seeds|3 cups all purpose flour|1 teaspoon salt|1 teaspoon baking powder|1/4 teaspoon cinnamon|1/2 cup sugar|1 cup lard,"In stand mixer, cream together lard and sugar on medium speed until fluffy. With mixer running on low, add egg, vanilla extract, brandy, and anise seeds and mix until homogeneous.|Add flour, salt, and baking powder and mix just until dough forms into cohesive ball.|Form dough into two cylinders about 1 1/2 to 2 inches in diameter. Chill for 2 hours or wrap tightly in plastic wrap and store in refrigerator for up to 3 days. For longer storage, freeze logs tightly wrapped for several months. Defrost in refrigerator for 1 day before using.|Adjust oven rack to middle position and preheat oven to 350F.|Combine sugar and cinnamon in small bowl and set aside.|Cut cylinders into 1/4 inch disks and on ungreased cookie sheets leaving 1/2-inch gap between cookies.|Bake until golden brown, about 12 minutes.|Dip rim of each cookie into cinnamon sugar mixture.|Let cool on racks and store at room temperature in air-tight container for up to 5 days.",689,antipasti|starter|snack|appetizer|antipasto|hor doeuvre,dairy free|lacto ovo vegetarian,6,4,https://spoonacular.com/recipeImages/633067-556x370.jpg
Authentic Bolognese Sauce,Italian,45,"1 large carrot, finely chopped|1 celery rib, finely chopped|1 1/2 cups dry white wine|3 garlic cloves, minced|2 pounds regular ground beef|3 tablespoons olive oil|1 onion, diced|4 ounces pancetta, finely chopped|1/2 teaspoon pepper|1 teaspoon Salt|1/4 cup tomato paste|1 1/2 cups whole milk","In a large skillet, heat oil over medium heat. Cook pancetta, onion, carrot, celery, and garlic until soft, about 10-15 minutes.|Add ground beef and cook until no longer pink. Stir in wine, milk, and tomato paste.|Add salt and pepper.Simmer uncovered for 1 hour, until most of the liquid is absorbed.",476,sauce,gluten free|primal|ketogenic,8,8,https://spoonacular.com/recipeImages/633068-556x370.jpg
Authentic Italian Biscotti,Italian,45,"1 t. almond extract|2 ½ t. baking powder|½ t. baking soda|2 c. flour|¾ t. salt|1 ¼ c. sugar|1 ½ c. whole almonds, coarsely chopped|2 whole eggs, plus 1 egg, separated","Preheat oven to 350 degrees. Line 2 baking sheets with parchment paper.Sift together flour, sugar, baking powder, baking soda, and salt.|Add 2 whole eggs and 1 egg yolk, almond extract, and almonds.|Mix thoroughly until dough holds together.|Add half of reserved egg white, if necessary, to make a cohesive dough.With wet hands, shape dough into 4 logs, each 6 long and 1  in diameter.|Place 3-4 apart on baking sheets.|Bake on middle rack of oven until logs are light golden brown and spring back when touched (about 24 minutes). Cool 15 minutes.Lower oven to 27|Slice logs with a serrated knife diagonally into 1/2 slices. Return to oven and bake until completely dry and crisp throughout (about 40 minutes). Cool.",54,dessert,dairy free|lacto ovo vegetarian,1,60,https://spoonacular.com/recipeImages/633078-556x370.jpg
Avocado Chocolate Bits Frozen Yogurt,Italian,45,"2 cups whole milk|3/4 cup sugar|1/2 teaspoon vanilla extract|4 large egg yolks|1 cup plain whole-milk yogurt|2 medium, firm-ripe avocados (6 to 7 oz. each), peeled, pitted|1/2 tablespoon lemon juice|cup chopped bittersweet chocolate (60- 70% cacao)|Sweetened condensed milk for drizzling, optional","Heat milk and sugar over medium heat in a medium saucepan until just comes to a boil, stirring occasionally.  Stir in the vanilla.|Have ready a large bowl filled with ice and set a small metal bowl over the ice with a strainer set over it.|Place egg yolks in a medium bowl, lightly beaten.  Ladle some of the milk into the egg yolk, whisk it to prevent curdling.|Pour this mixture back into the rest of the milk in the saucepan.  Cook over low-medium heat until mixture is thick and can cover the back of a wooden spoon, about 4 to 8 minutes.|Pour the mixture over the strainer into the small bowl; stir in the yogurt.|Whisk the mixture over the ice bath until it cools completely.|Scoop the avocado meat and puree in a blender or food processor along with the lemon juice and some of the cooled custard.|Pour this mixture back to the rest of the custard, blend them together until it is thick and creamy.|Freeze the custard in an ice cream maker according to the manufacturers instructions.  Halfway through the freezing process, fold in the chopped bittersweet chocolate.|Transfer the frozen yogurt into a freezer-safe container and freeze until solid, at least 4 hours.",701,dessert,gluten free,11,4,https://spoonacular.com/recipeImages/633139-556x370.jpg
Avocado Toast,American,45,"2 tablespoons olive oil|1/4 sweet yellow onion, sliced|15 grape tomatoes, halved|1/2 avocado|2 slices quality bread|2 springs chives, minced|1 tablespoon chive blossoms (if in season)|Salt to taste|Ground black pepper to taste",Saute sliced onions and tomatoes with olive oil over medium high heat for 5-8 minutes. Season with salt and pepper. Set aside.|Toast two slices of bread in a toaster.|Evenly smear avocado onto each slice of toast.|Sprinkle with salt and pepper.|Top toast with onions and tomatoes.|Garnish with fresh chives and chive blossoms.,318,,dairy free|lacto ovo vegetarian|vegan,12,2,https://spoonacular.com/recipeImages/633160-556x370.jpg
Baby Chick Cupcakes,American,45,2 1/4 cups plain flour|1 1/4 cups sugar|cup butter|1 cup milk|2 1/2 teaspoons baking powder|1 teaspoon salt|1 teaspoon vanilla|1 egg|2 cups icing sugar|cream|yellow food colouring|2 cups coconut|Brown and orange M&Ms,"Heat oven to 180 C.  Put paper cases in 24 muffin tins (or halve the recipe and do 12, or bake 12 at a time).|In a medium bowl, beat flour, sugar, butter, milk, baking powder, salt, vanilla and egg. Either beat 3 minutes with a mixer, or get that baking bicep out and mix by hand for a few minutes. fill paper cases half full.|Bake 15-20 minutes until a toothpick inserted in the centre comes out clean. Cool completely on a rack.|This is the fun part! add tablespoonsful of cream to the two cups of icing in a bowl, until it gets to the desired stage. Some people like runny, I prefer it a little stiff.|Add a few drops of yellow food colouring and mix.|Now for your chick feathers... add 2 cups coconut to a ziplock bag, drop in some food colouring, seal it up and rub it all with your fingers to dye the coconut. Fun!|When cupcakes are completely cool, ice with yellow frosting.|Put the coconut in a small bowl, and dip the cupcakes icing-side down into it to completely cover.|Add brown M&Ms for eyes, sticking on with a little frosting for glue. Poke orange M&Ms in for the beak... total cuteness.",538,dessert,lacto ovo vegetarian,3,12,https://spoonacular.com/recipeImages/633229-556x370.jpg
Bacon Brownie Cupcakes,American,45,"2 Crossing over quintessential American desserts, we bake our brownie dough in|4 oz unsweetened chocolate|1 ounce sweetened chocolate|8 tablespoons butter|1/2 cup sugar|1/4 teaspoon salt|2 large eggs|1 cup AP Flour|2 tablespoons cocoa (not Dutch-processed)|4 strips bacon","Oven: 350F.|Grease a standard muffin pan (we like jumbo but not mini, theyll get to crispy).|Fry the bacon, remove and pat dry. The bacon should be crispy but without char- any chunks of fat that are still white should be discarded.|Melt the unsweetened chocolate and butter in a double broiler.|Cool slightly, then whisk in the sugar and salt.|Add the eggs, one at a time.|Sift the flour and cocoa together, then combine with the chocolate.|Stir in the pieces of bacon and chocolate.|Bake ~30 min., making sure to allow brownie cupcakes to cool before removing.",913,,,14,6,https://spoonacular.com/recipeImages/633293-556x370.jpg
Bacon Caramels,Mediterranean,45,14 strips bacon|2 cups sugar|1/2 cup water|1/2 cup light corn syrup|1 cup butter|1 cup heavy cream|2 teaspoons vanilla,"Preheat oven to 400 degrees. Line a rimmed baking sheet with parchment paper.|Lay bacon strips on sheet and bake in oven for 20 to 25 minutes or until crispy.|Remove bacon to paper towel-lined plate to cool. Crumble 5 to 6 strips of bacon and leave the rest in strips.|Line an 913 (or larger!) rimmed baking sheet with parchment. In a heavy-bottomed pot (I love my Le Creuset), add sugar, water and corn syrup over medium-high heat.|Let mixture bubble and stir occasionally, to evaporate water. Sugar will begin to caramelize and turn a lovely shade of amber.|Use a thermometer to monitor caramel. When it reaches 320 degrees and is golden brown in color, slowly whisk in cream, butter and vanilla, until completely combined. When caramel reaches 243 degrees, remove from heat and pour into lined baking sheet. Cool for 15 minutes, and add bacon strips. Cool further, until caramel is pliable and easier to handle.|Roll caramel and bacon strips jelly-roll style once, and trim off excess. Continue to roll and trim until youve finished off the pan.|Cut the bacon caramel logs into bite-sized pieces. Top with reserved bacon bits.|Serve on a platter, or roll in wax paper. Keep refrigerated, but let come to room temperature before eating.http://www.fureyandthefeast.com/2009/09/bacon-caramels/",72,antipasti|starter|snack|appetizer|antipasto|hor doeuvre,gluten free,0,80,https://spoonacular.com/recipeImages/633302-556x370.jpg
Banana Creme Brulee,French,45,2 Mashed bananas|1 little demerara sugar|3 egg yolks|450 ml heavy cream|1/2 cup Sugar|1 vanilla pod,Put the cream and the vanilla in a medium saucepan and bring slowly to the boil.|Remove from the heat just before the cream boils.Split the pod in half and scrape out the seeds with the point of a knife.Slice the bananas thickly and divide between 8 small ramekins.|Put the egg yolks caster sugar and vanilla seeds in a mixing bowl and beat till thick and creamy.|Pour the hot milk on to the egg and sugar mixture and stir.Rinse out the milk pan dry and pour in the custard.|Heat stirring slowly and almost constantly until the mixture thickens.There are a couple of things to bear in mind: if you make certain that the spoon gets right into the corners of the pan you run less risk of the custard curdling and on no account let the mixture boil otherwise the custard will scramble.|Pour the custard through a sieve into the little dishes filling them right to the top.Set aside to cool then refrigerate overnight.Dust the top of each custard with a thin layer of demerara then place under a very very hot grill for a few seconds until the sugar melts to a shiny caramel.Leave to cool and harden.Makes 8,290,dessert,gluten free|lacto ovo vegetarian,1,8,https://spoonacular.com/recipeImages/634070-556x370.jpg
Barbecue Chicken Cauliflower Couscous Bowls,American,45,"½ cup roasted and salted sliced almonds|½ cup barbecue sauce|1 small head of cauliflower, cut into florets|2 tablespoons chopped cilantro|4 cloves of garlic, finely minced|1 teaspoon garlic powder|2 tablespoons olive oil|1/3 cup orange juice|¼ cup Pecorino Romano cheese|sea salt and black pepper|2 boneless and skinless chicken breasts, cut-in-half lengthwise to produce 4 equal pieces|2 tablespoons soy sauce|4 cups Swiss chard, stemmed and loosely chopped|2 tablespoons unsalted butter|1 small yellow onion, diced","In a shallow dish, whisk together the barbecue sauce, orange juice and soy sauce.|Add the chicken breasts and toss to fully coat. Set aside to marinate while you prepare the rest of your ingredients.|Add the cauliflower florets to the bowl of your food processor. Pulse 5-6 times are until the cauliflower takes on the texture of couscous. Set aside.|Heat the butter in a large saut pan over medium heat.|Add the onion and cook until tender, about 5-6 minutes.|Add the cauliflower, garlic powder and salt and black pepper to taste. Stir to combine. Cook for an additional 5 minutes.|Remove from heat and stir in the cheese and cilantro. Cover and set aside until you are ready to serve.Preheat your grill or grill pan over medium to medium-high heat. Grease the grill and then add the chicken. Cook, brushing occasionally with additional marinade, until cooked through, about 10-12 minutes. Flip the chicken about halfway through cooking time.|Remove from heat and set aside to rest while you prepare your Swiss chard.|Heat the olive oil in a saut pan over medium heat.|Add the garlic and cook for 1 minutes, until fragrant.|Add the Swiss chard and cook, stirring frequently, until wilted and warm. Season with salt and black pepper.Assemble your bowls, by layering sliced chicken breast and Swiss chard over a bed of cauliflower couscous.|Sprinkle with almonds and enjoy immediately!",381,lunch|main course|main dish|dinner,gluten free,22,4,https://spoonacular.com/recipeImages/715420-556x370.jpg
